First Name  Last Name   Hostel  Course  Room Number  Date of Birth  Year of Study
Aryavarta   Verma       BH-3   MBA     259          03-11-1994     4
Shubham     Kumar       BH-1   MS      126          12-22-1991     4
Shubham     Gupta       BH-2   BTech   109          01-14-1990     1
Aryan       Buddhedev   BH-5   MTech   151          07-13-1993     5
Aryan       Buddhedev   BH-3   MBA     189          12-15-1994     4
Aryabhatt   Kumar       BH-2   MS      272          09-11-1995     5
Ayush       Sahu        BH-2   PhD     281          07-26-1993     4
Om          Singh       BH-5   MS      184          01-18-1994     1
Aryavart    Sonawane    BH-2   MS      235          04-08-1997     1
Aryaman     Aggarwal    BH-2   MS      259          05-14-1999     2
Ayush       Verma       BH-2   MS      160          06-17-1999     4
Om          Buddhedev   BH-1   MS      197          03-23-1996     2
Ashutosh    Sahu        BH-4   PhD     100          05-10-1992     4
Aryavarta   Sharma      BH-4   MTech   238          11-21-1995     2
Arya        Chaudhary   BH-1   BTech   234          04-15-1991     5
Kushagra    Sahu        BH-5   MTech   136          01-23-1995     2
Aryan       Sonawane    BH-3   MS      216          02-04-1999     2
Aryaman     Kumar       BH-5   BTech   171          07-13-1991     2
Shubham     Sharma      BH-4   MBA     293          04-21-1996     2
Kushagra    Sharma      BH-4   BTech   278          09-28-1999     1
Ashutosh    Singh       BH-5   PhD     101          10-05-1999     3
Aryaman     Aggarwal    BH-1   BTech   183          08-28-1991     2
Aryan       Buddhedev   BH-5   MBA     284          10-26-1998     4
Kushagra    Aggarwal    BH-3   BTech   210          06-26-1992     1
Sid         Bruh        BH-2   BTech   192          08-27-1994     1
Aryavarta   Jha         BH-3   MS      107          01-20-1998     5
Aryavartan  Patel       BH-4   MBA     262          02-10-1997     3
Arya        Buddhedev   BH-3   BTech   283          05-06-1998     4
Om          Sonawane    BH-2   MBA     190          11-08-1994     1
Aryavarta   Patel       BH-3   MS      103          10-05-1990     1
Om          Shah        BH-2   MTech   158          02-05-1996     3
Sahil       Mishra      BH-1   BTech   234          03-15-1992     4
Ashutosh    Gupta       BH-1   MTech   230          06-18-1991     2
Aryavart    Shah        BH-3   MBA     185          02-06-1998     4
Aryabhatt   Gupta       BH-5   MS      189          07-19-1994     1
Ayush       Patel       BH-4   MTech   161          08-15-1998     5
Aryan       Sharma      BH-4   PhD     230          02-15-1995     5
Arya        Bruh        BH-1   MTech   113          06-06-1996     4
Siddhartha  Buddhedev   BH-5   MBA     180          07-08-1995     2
Siddhartha  Jain        BH-3   BTech   162          11-24-1995     5
Malay       Garg        BH-4   MTech   212          02-06-1996     1
Kushagra    Sonawane    BH-2   MBA     221          09-06-1997     4
Ashutosh    Singh       BH-2   PhD     197          06-19-1994     1
Sahil       Kumar       BH-3   MBA     189          12-14-1990     3
Aryabhatt   Singh       BH-2   PhD     117          10-13-1991     2
Siddharth   Sharma      BH-5   PhD     258          12-06-1991     5
Malay       Gupta       BH-4   BTech   241          09-28-1995     4
Ayush       Shah        BH-1   BTech   271          07-24-1996     5
Aryavartan  Garg        BH-1   MTech   220          03-23-1991     2
Aman        Shah        BH-4   PhD     205          07-05-1992     2
Aryan       Shah        BH-1   MTech   264          10-15-1994     2
